ID,Name,FiscalYear,FiscalYearEnd,Revenue,USFEIN,SSN,InputAddressAL,InputAddressCity,InputAddressState,InputAddressZipCode,InputAddressCountry,NewInTY22,FinalInTY22,K1DueJune30,FromADVPF,ENableTaxSoftware,Website,ChainID,FDN_Category2,FDN_Country,FDN_Currency,FDN_EntityStructure,FDN_EntityType,FDN_GeographyType,FDN_Industry,FDN_Region,FDN_Strategy,FDN_Status
645,Taylor Advisors Pvt Ltd,True,31-Dec,2329726,93-9705188,691-39-0841,9561 Center Blvd,Prague,,92447,BE,Yes,Yes,Yes,No,No,https://www.taylor-advisors-pvt-ltd.com,47,Portfolio Company-Related,BE,EUR,Private Company,Organization,International,Software Development,Europe,US Private Debt,Active
646,Lefevre Services Ltd,True,31-Dec,896650,18-7010185,637-63-4724,7061 Washington Blvd,Kuwait City,,34431,QA,Yes,No,Yes,Yes,Yes,https://www.lefevre-services-ltd.com,48,Deal-Related,QA,QAR,Limited Company,Organization,Domestic,Construction,Middle East,US Private Debt,Pending Validation
647,Martin Industries LLC,True,30-Jun,3552776,79-9678030,875-16-9342,8549 Lake Ct,Tel Aviv,,12446,OM,Yes,No,Yes,No,No,https://www.martin-industries-llc.com,49,Portfolio Company-Related,OM,OMR,LLC,Individual,Domestic,Healthcare,Middle East,Global Convertibles,Active
648,Garcia Partners LLC,False,31-Dec,2298942,24-1666541,654-31-4675,2360 Washington Ln,Madrid,,30214,PT,Yes,Yes,No,No,Yes,https://www.garcia-partners-llc.com,50,Fund-Related,PT,EUR,LLC,Private Company,Domestic,Healthcare,Europe,Global Convertibles,Active
649,Anderson Group LLC,False,31-Mar,2423522,79-2443176,250-70-5057,9885 Highland Ln,Kuwait City,,11059,IL,Yes,No,No,Yes,Yes,https://www.anderson-group-llc.com,51,Portfolio Company-Related,IL,ILS,LLC,Corporation,Domestic,Healthcare,Middle East,US Private Debt,Pending Validation
650,Jackson Partners Pvt Ltd,False,31-Mar,1488308,46-0052124,196-33-8245,7812 Riverside Rd,Riyadh,,51302,OM,Yes,Yes,No,No,No,https://www.jackson-partners-pvt-ltd.com,52,Deal-Related,OM,OMR,Private Company,Public Sector Undertaking,Domestic,Software Development,Middle East,Global Convertibles,Draft
651,Smith Investments Pvt Ltd,True,30-Sep,4711790,52-1578878,477-42-8237,213 Willow Ln,Dubai,,94832,KW,No,No,Yes,Yes,No,https://www.smith-investments-pvt-ltd.com,53,Portfolio Company-Related,KW,KWD,Private Company,Partnership,International,Construction,Middle East,Global Credit,Pending Validation
652,Kowalski Investments LLC,True,30-Jun,3146578,64-9805752,846-49-6017,6608 Sunset Pl,Caracas,,94095,CL,Yes,No,Yes,No,Yes,https://www.kowalski-investments-llc.com,54,Deal-Related,CL,CLP,LLC,Private Company,Domestic,Finance,South America,US Private Debt,Active
653,Johnson Investments SARL,True,30-Jun,1991826,97-5236326,430-30-0691,9005 Cherry Ave,Doha,,73075,KW,Yes,Yes,Yes,No,No,https://www.johnson-investments-sarl.com,55,Fund-Related,KW,KWD,SARL,Partnership,Domestic,eCommerce,Middle East,Global Credit,Pending Validation
654,Kowalski Group SA,False,30-Jun,2998006,45-2121622,620-84-8011,3429 Pine Ct,Stockholm,,18503,SE,No,Yes,No,No,No,https://www.kowalski-group-sa.com,56,Portfolio Company-Related,SE,SEK,SA,Partnership,International,Finance,Europe,Global Convertibles,Draft
655,Harris Services Ltd,True,31-Mar,2472542,38-5960666,328-49-6889,5429 Park Ln,Stockholm,,48541,PT,Yes,Yes,No,No,No,https://www.harris-services-ltd.com,57,Deal-Related,PT,EUR,Limited Company,Organization,International,Healthcare,Europe,Global Credit,Draft
656,Taylor Solutions Pvt Ltd,True,30-Jun,4694360,52-9392706,259045264518924,7081 Main St,Lille,,35863,FR,Yes,Yes,No,Yes,Yes,https://www.taylor-solutions-pvt-ltd.com,58,Portfolio Company-Related,FR,EUR,Private Company,Organization,International,Construction,Europe,Global Credit,Pending Validation
657,Brown Group Pvt Ltd,False,31-Mar,1219349,95-3934808,202-46-1143,3171 Highland Ct,Quito,,53036,AR,No,No,No,Yes,Yes,https://www.brown-group-pvt-ltd.com,59,Portfolio Company-Related,AR,ARS,Private Company,Organization,International,Finance,South America,US Private Debt,Pending Validation
658,Dubois Industries,False,31-Mar,4517580,38-3226049,618-87-0473,6966 Elm Rd,Lima,,43828,UY,No,Yes,Yes,No,No,https://www.dubois-industries.com,60,Fund-Related,UY,UYU,SARL,Public Sector Undertaking,Domestic,Software Development,South America,European Senior Loans,Draft
659,Johnson Management Pvt Ltd,False,31-Dec,2715387,31-0371031,673-67-9158,943 Park Ct,Riyadh,,18359,KW,Yes,No,No,Yes,No,https://www.johnson-management-pvt-ltd.com,61,Fund-Related,KW,KWD,Private Company,Individual,Domestic,eCommerce,Middle East,Global Convertibles,Pending Validation
660,Müller Partners SARL,False,31-Mar,1011627,15-1379891,435-73-1895,6305 Riverside Ct,San Jose,WV,50895,US,No,Yes,Yes,No,No,https://www.mller-partners-sarl.com,62,Fund-Related,US,USD,SARL,Corporation,Domestic,Finance,North America,European Senior Loans,Draft
661,Rossi Services,True,31-Mar,2718761,94-5082320,503-18-7925,6169 Center Blvd,Tel Aviv,,96364,QA,No,Yes,Yes,Yes,Yes,https://www.rossi-services.com,63,Fund-Related,QA,QAR,SA,Private Company,Domestic,eCommerce,Middle East,Global Convertibles,Pending Validation
662,Taylor Solutions SARL,True,31-Dec,1974296,38-8771788,205-21-9884,9815 Park Rd,Denver,TX,74819,US,No,No,No,No,No,https://www.taylor-solutions-sarl.com,64,Fund-Related,US,USD,SARL,Private Company,International,Healthcare,North America,Global Credit,Draft
663,Schmidt Investments SARL,True,31-Dec,2286749,79-7235234,323-88-1740,7235 Sunset Ave,New York,CA,19229,US,Yes,Yes,Yes,No,No,https://www.schmidt-investments-sarl.com,65,Portfolio Company-Related,US,USD,SARL,Corporation,International,Construction,North America,Global Credit,Draft
664,Silva Holdings Pvt Ltd,False,31-Dec,3784561,18-9061856,331-10-6298,7899 Cedar Pl,Kuwait City,,53704,OM,No,Yes,No,No,Yes,https://www.silva-holdings-pvt-ltd.com,66,Fund-Related,OM,OMR,Private Company,Public Sector Undertaking,International,Healthcare,Middle East,Global Credit,Draft
665,Rossi Group LLC,False,31-Dec,3739365,36-7772872,233-63-0841,4021 Elm Ave,Doha,,59025,SA,No,No,No,Yes,No,https://www.rossi-group-llc.com,67,Fund-Related,SA,SAR,LLC,Partnership,International,Construction,Middle East,European Senior Loans,Active
666,Schmidt Group SARL,False,31-Mar,4339009,26-9498288,596-53-0793,753 Cedar Ct,São Paulo,,26284,CO,Yes,No,Yes,No,Yes,https://www.schmidt-group-sarl.com,68,Fund-Related,CO,COP,SARL,Partnership,International,Healthcare,South America,European Senior Loans,Active
667,Thomas Industries SARL,False,31-Dec,2393859,46-4776554,683-43-1777,1957 Main Rd,Madrid,,82712,ES,No,Yes,Yes,Yes,Yes,https://www.thomas-industries-sarl.com,69,Deal-Related,ES,EUR,SARL,Corporation,Domestic,Finance,Europe,Global Credit,Draft
668,Garcia Group SARL,True,30-Sep,3194415,82-6820513,105-44-3427,9215 Center Pl,Muscat,,51027,AE,Yes,Yes,No,Yes,No,https://www.garcia-group-sarl.com,70,Deal-Related,AE,AED,SARL,Private Company,International,Construction,Middle East,European Senior Loans,Pending Validation
669,Kowalski Solutions,False,30-Jun,2745887,20-6623718,831-14-8226,9359 Cherry Blvd,Madrid,,68856,IE,No,Yes,No,Yes,Yes,https://www.kowalski-solutions.com,71,Deal-Related,IE,EUR,SA,Public Sector Undertaking,Domestic,Software Development,Europe,US Private Debt,Active
670,Kowalski Ventures Pvt Ltd,True,31-Dec,3144038,15-0652868,240-52-7761,8509 Broad Blvd,Stockholm,,77568,IE,No,No,No,No,No,https://www.kowalski-ventures-pvt-ltd.com,72,Fund-Related,IE,EUR,Private Company,Private Company,International,Software Development,Europe,European Senior Loans,Pending Validation
671,Rossi Solutions Pvt Ltd,True,30-Jun,4482361,77-3226188,188-84-0397,1577 Lake St,Riyadh,,10686,SA,No,Yes,Yes,No,No,https://www.rossi-solutions-pvt-ltd.com,73,Fund-Related,SA,SAR,Private Company,Public Sector Undertaking,Domestic,eCommerce,Middle East,US Private Debt,Pending Validation
672,Harris Industries,True,31-Dec,3938691,32-1795437,167033119763568,4136 Park Ln,Strasbourg,,20357,FR,Yes,No,Yes,Yes,Yes,https://www.harris-industries.com,74,Fund-Related,FR,EUR,SA,Organization,International,Finance,Europe,US Private Debt,Pending Validation
673,Dubois Ventures Pvt Ltd,False,30-Jun,2408379,53-8495191,740-28-9810,5598 Walnut Blvd,Stockholm,,28287,SE,Yes,Yes,Yes,No,Yes,https://www.dubois-ventures-pvt-ltd.com,75,Portfolio Company-Related,SE,SEK,Private Company,Partnership,International,Healthcare,Europe,European Senior Loans,Active
674,Silva Enterprises SA,True,31-Dec,1481943,18-4431092,269-65-2286,432 Lake Ct,Dubai,,77576,OM,Yes,Yes,Yes,No,Yes,https://www.silva-enterprises-sa.com,76,Portfolio Company-Related,OM,OMR,SA,Organization,Domestic,Healthcare,Middle East,Global Credit,Draft
675,Garcia Solutions Pvt Ltd,False,31-Mar,1614562,99-2258306,851-33-9659,8346 Pine Blvd,Berlin,,87798,DE,Yes,No,Yes,Yes,No,https://www.garcia-solutions-pvt-ltd.com,77,Fund-Related,DE,EUR,Private Company,Public Sector Undertaking,International,Construction,Europe,Global Convertibles,Draft
676,Martin Services SA,True,31-Mar,2062279,28-0601759,340-99-7213,7435 Cedar St,Muscat,,14424,SA,No,No,No,Yes,No,https://www.martin-services-sa.com,78,Fund-Related,SA,SAR,SA,Partnership,International,eCommerce,Middle East,Global Credit,Active
677,Dubois Advisors,False,30-Jun,4513999,33-1355791,599-52-2897,5135 Maple St,Dublin,,45851,ES,No,No,No,No,No,https://www.dubois-advisors.com,79,Deal-Related,ES,EUR,Limited Company,Partnership,Domestic,Construction,Europe,Global Credit,Active
678,Taylor Management SA,False,30-Jun,1315891,65-0097479,467-35-1813,3106 Riverside St,Buenos Aires,,61713,CL,Yes,No,No,Yes,No,https://www.taylor-management-sa.com,80,Portfolio Company-Related,CL,CLP,SA,Private Company,International,Healthcare,South America,US Private Debt,Pending Validation
679,Müller Group Ltd,False,30-Jun,2178234,80-4604524,228-90-4961,8741 Pine Pl,Riyadh,,87569,QA,Yes,Yes,Yes,Yes,No,https://www.mller-group-ltd.com,81,Deal-Related,QA,QAR,Limited Company,Private Company,Domestic,Finance,Middle East,Global Convertibles,Pending Validation
680,White Holdings SA,False,31-Dec,3009019,27-0086930,663-30-6666,7794 Center Rd,Doha,,52096,AE,Yes,Yes,No,Yes,Yes,https://www.white-holdings-sa.com,82,Portfolio Company-Related,AE,AED,SA,Partnership,Domestic,Healthcare,Middle East,US Private Debt,Pending Validation
681,Jackson International LLC,False,30-Sep,1344643,11-1117325,497-94-4445,5902 Cedar St,Phoenix,TN,60662,US,Yes,Yes,Yes,No,Yes,https://www.jackson-international-llc.com,83,Fund-Related,US,USD,LLC,Private Company,Domestic,eCommerce,North America,European Senior Loans,Pending Validation
682,Dubois Advisors SA,True,31-Mar,1131670,53-8108476,282-53-6374,2748 Spruce Blvd,Manama,,87217,BH,Yes,Yes,No,No,No,https://www.dubois-advisors-sa.com,84,Portfolio Company-Related,BH,BHD,SA,Corporation,Domestic,eCommerce,Middle East,Global Convertibles,Active
683,Thomas Holdings,True,30-Sep,4833435,21-9961145,390-63-7798,2080 Lake Blvd,Doha,,78562,AE,Yes,No,Yes,No,No,https://www.thomas-holdings.com,85,Fund-Related,AE,AED,SA,Public Sector Undertaking,Domestic,Software Development,Middle East,Global Credit,Pending Validation
684,Costa Advisors SARL,False,31-Mar,3381697,56-6685239,487-88-0937,5834 Highland Ave,Toronto,,O6X 2A9,CA,No,No,Yes,Yes,No,https://www.costa-advisors-sarl.com,86,Portfolio Company-Related,CA,CAD,SARL,Private Company,International,Software Development,North America,Global Convertibles,Draft
685,Kowalski Investments,True,31-Mar,2774899,53-3840443,686-67-0375,8075 Spruce Pl,Manama,,62793,IL,No,Yes,No,Yes,Yes,https://www.kowalski-investments.com,87,Deal-Related,IL,ILS,SARL,Partnership,International,Construction,Middle East,Global Credit,Draft
686,Schmidt Ventures SARL,False,30-Sep,1160442,37-2786969,748-45-2341,7164 Walnut Ct,Quito,,42838,EC,No,No,No,No,Yes,https://www.schmidt-ventures-sarl.com,88,Deal-Related,EC,USD,SARL,Organization,International,eCommerce,South America,US Private Debt,Active
687,Kowalski Enterprises SA,False,30-Jun,4225212,87-9090862,395-79-0264,2595 Elm St,Lima,,14444,VE,No,No,Yes,No,No,https://www.kowalski-enterprises-sa.com,89,Portfolio Company-Related,VE,VES,SA,Corporation,Domestic,Finance,South America,European Senior Loans,Pending Validation
688,Schmidt Management SA,True,30-Sep,871743,71-1914064,151081059164588,879 Elm Blvd,Lille,,49824,FR,Yes,No,No,No,No,https://www.schmidt-management-sa.com,90,Deal-Related,FR,EUR,SA,Private Company,Domestic,Finance,Europe,European Senior Loans,Pending Validation
689,Rossi Management Pvt Ltd,True,31-Dec,4766737,90-7244357,785-13-3539,9289 Washington St,Lima,,22950,BR,No,No,Yes,No,No,https://www.rossi-management-pvt-ltd.com,91,Fund-Related,BR,BRL,Private Company,Organization,Domestic,Construction,South America,Global Convertibles,Draft
690,Harris Group SA,False,31-Dec,3798112,18-3060284,239-47-1808,7461 Willow Ct,Bogotá,,91625,CO,Yes,Yes,Yes,No,No,https://www.harris-group-sa.com,92,Deal-Related,CO,COP,SA,Individual,International,Healthcare,South America,US Private Debt,Active
691,Brown Partners,False,31-Dec,1624107,38-7856881,269-96-8085,1872 Pine Ct,Lima,,90844,PE,No,Yes,No,Yes,Yes,https://www.brown-partners.com,93,Fund-Related,PE,PEN,Limited Company,Corporation,International,eCommerce,South America,Global Convertibles,Pending Validation
692,Brown Services SA,True,31-Dec,947639,80-2033912,477-19-1723,8265 Highland Way,Muscat,,31605,QA,No,No,No,No,Yes,https://www.brown-services-sa.com,94,Deal-Related,QA,QAR,SA,Private Company,Domestic,Construction,Middle East,Global Credit,Active
