Accountnumber,Chainid,Name,Routingnumber,FDN_AccountType,FDN_Bank,FDN_Fund,FDN_LegalEntity,FDN_Portfolio
9963334018,86384014,Hugo Leroy,9648665968,Custodian Account,Deutsche Bank,20,894,49
1083651970,87844239,Giulia Andre,8613035386,Custodian Account,BNP Paribas,31,956,50
5161807235,67276174,Zoe Lopez,5916199809,Custodian Account,BNP Paribas,8,987,51
1311570307,69345683,Leo Mercier,7268807553,Bank Account,BNP Paribas,3,893,52
9639245200,38682516,Chloe Laurent,9426850694,Custodian Account,BNP Paribas,31,818,53
1798112150,92613013,Rania Leroy,1851819913,Custodian Account,Deutsche Bank,7,844,54
5710360983,10744212,Bruno Girard,7049536909,Bank Account,Deutsche Bank,4,701,55
1519709079,53936531,Klara Andre,5952059278,Custodian Account,Deutsche Bank,9,604,56
2812140441,69295515,Farid Michel,1672302490,Custodian Account,BNP Paribas,13,893,57
9786748825,77750178,Jonas Morel,5683143581,Bank Account,Deutsche Bank,37,836,58
9573276057,54410148,Xavier Lopez,6292209057,Bank Account,Deutsche Bank,27,779,59
6633778586,36445607,Maya Blanc,2549972386,Custodian Account,Deutsche Bank,19,637,60
3746317213,69849511,Jonas Vincent,1232804774,Bank Account,BNP Paribas,19,1064,61
8763140509,32775593,Rania Bertrand,8822944679,Custodian Account,Deutsche Bank,33,1078,62
8664882079,18357162,Giulia Blanc,8739238825,Bank Account,BNP Paribas,11,1068,63
8507497883,84813739,Ines Andre,7351029162,Bank Account,Deutsche Bank,22,901,64
4645120421,62191530,Victor Mercier,9594878379,Bank Account,Deutsche Bank,40,1014,65
5759234471,54988206,Quentin Simon,5838636972,Bank Account,BNP Paribas,7,788,66
7567496105,67698610,Paul Simon,1221670908,Bank Account,Deutsche Bank,17,991,67
3783290795,51663795,Oscar Mercier,5726642606,Custodian Account,BNP Paribas,20,610,68
7825844140,63640499,Uma Laurent,6144594354,Bank Account,Deutsche Bank,8,1075,69
6704841644,61053877,Farid Lefevre,1348697524,Custodian Account,Deutsche Bank,19,975,70
3361388464,71124923,Hugo Durand,1862407093,Bank Account,BNP Paribas,10,1064,71
9703905715,79967676,Tom Laurent,4604460472,Custodian Account,BNP Paribas,35,822,72
4289233844,10791358,Hugo Girard,7291584955,Bank Account,BNP Paribas,34,969,73
7517938612,33607110,Sofia Thomas,7521647547,Bank Account,Deutsche Bank,37,1148,74
4095476665,13637575,Farid Simon,5782279101,Custodian Account,Deutsche Bank,14,1099,75
7249213370,21381064,Quentin Garcia,5471357886,Bank Account,BNP Paribas,9,1124,76
7803990970,94951883,Oscar Vincent,5452580287,Bank Account,BNP Paribas,20,621,77
4460967357,16202700,Ines Guerin,5616352188,Bank Account,Deutsche Bank,38,673,78
3479708607,79182797,Nina Laurent,8352307139,Bank Account,Deutsche Bank,5,1082,79
6583444930,61536717,Jonas Michel,8034746821,Bank Account,Deutsche Bank,27,982,80
3694860228,60888017,Oscar Boyer,8467250120,Custodian Account,BNP Paribas,6,1151,81
3849232839,62343121,Uma Boyer,4048494026,Custodian Account,Deutsche Bank,12,1149,82
4311931853,60885459,Quentin Robert,8986950095,Bank Account,Deutsche Bank,2,904,83
1965067727,82498004,Victor Lopez,5948254671,Custodian Account,BNP Paribas,15,852,84
8429141456,53868501,Leo Robert,9301537234,Custodian Account,Deutsche Bank,8,631,85
6882074066,98054615,Nina Fournier,6879898071,Bank Account,Deutsche Bank,14,667,86
4131575764,87265240,Tom Bernard,2263732197,Custodian Account,Deutsche Bank,16,644,87
1983297492,50308572,Oscar Durand,4576111591,Bank Account,Deutsche Bank,9,1114,88
1664847319,13895645,Hugo Guerin,6906898409,Custodian Account,BNP Paribas,16,908,89
6320115677,91424737,Victor Bertrand,2030213097,Bank Account,BNP Paribas,20,880,90
2137651678,66581473,Rania Vincent,5305985001,Bank Account,BNP Paribas,36,1106,91
6241752544,71028710,Leo Morel,9733234156,Custodian Account,BNP Paribas,27,1017,92
2627677155,53251559,Jonas Lefevre,3105400301,Bank Account,BNP Paribas,16,829,93
1422701550,48508907,Wafa Robert,7313646580,Custodian Account,Deutsche Bank,36,1021,94
4026113008,36726767,Rania Bertrand,1074059253,Bank Account,BNP Paribas,16,860,95
5284391408,65804273,Klara Morel,4716265973,Bank Account,BNP Paribas,24,693,96
9623534576,35748341,Xavier Guerin,9655852024,Bank Account,Deutsche Bank,18,985,97
2188332531,71265269,Tom Fournier,2752306681,Bank Account,Deutsche Bank,13,821,98
6924716023,27084279,Giulia Boyer,9371430906,Custodian Account,BNP Paribas,1,815,99
3030106617,64707061,Xavier Thomas,1140187131,Custodian Account,Deutsche Bank,39,808,25
6649827836,55298556,Hugo Roux,9115009532,Custodian Account,BNP Paribas,25,1076,50
