SourceId,IsConverted,ConvertedDate,PublisherID_ConvertedAccount,SourceID_ConvertedAccount,PublisherID_ConvertedContact,SourceID_ConvertedContact,PublisherID_ConvertedOpportunity,SourceID_ConvertedOpportunity,Salutation,FirstName,LastName,Name,Title,Company,Industry,AnnualRevenue,NumberOfEmployees,Website,Fax,Phone,MobilePhone,Email,Street,City,State,PostalCode,Country,Status,Rating,LeadSource,Description,CleanStatus
00Q7F000004CQaaUAG,FALSE,,,,,,,,Ms,Pat,Stumuller,Pat Stumuller,"SVP, Administration and Finance",Pyramid Construction Inc.,,,,,,33562156600,,pat@pyramid.net,,,,,France,Closed - Converted,,Phone Inquiry,,Pending
00Q7F000004CQabUAG,FALSE,,,,,,,,Mr,Andy,Young,Andy Young,"SVP, Operations",Dickenson plc,,,,,,(620) 241-6200,,a_young@dickenson.com,,,KS,,USA,Closed - Converted,,Purchased List,,Pending
00Q7F000004CQacUAG,FALSE,,,,,,,,Ms,Kristen,Akin,Kristen Akin,"Director, Warehouse Mgmt",Aethna Home Products,,,,,,(434) 369-3100,,kakin@athenahome.com,,,VA,,USA,Working - Contacted,,Partner Referral,,Pending
00Q7F000004CQadUAG,FALSE,,,,,,,,Mr,David,Monaco,David Monaco,CFO,Blues Entertainment Corp.,,,,,,(033) 452-1299,,david@blues.com,,,,,Japan,Working - Contacted,,Purchased List,,Pending
00Q7F000004CQaeUAG,FALSE,,,,,,,,Ms,Carolyn,Crenshaw,Carolyn Crenshaw,"VP, Technology",Ace Iron and Steel Inc.,,,,,,(251) 679-2200,,carolync@aceis.com,,,AL,,USA,Closed - Not Converted,,Phone Inquiry,,Pending
00Q7F000004CQafUAG,FALSE,,,,,,,,Mr.,Jack,Rogers,Jack Rogers,"VP, Facilities",Burlington Textiles Corp of America,Apparel,3.5E8,9000,,(336) 222-8000,(336) 222-7000,,jrogers@btca.com,525 S. Lexington Ave,Burlington,NC,27215,USA,Closed - Converted,Warm,Web,,Pending
00Q7F000004CQagUAG,FALSE,,,,,,,,Mr,Bill,Dadio Jr,Bill Dadio Jr,CFO,Zenith Industrial Partners,,,,,,(614) 431-5001,,bill_dadio@zenith.com,,,OH,,USA,Closed - Not Converted,,Web,,Pending
00Q7F000004CQahUAG,FALSE,,,,,,,,Ms,Eugena,Luce,Eugena Luce,CEO,Pacific Retail Group,,,,,,(781) 270-6500,,eluce@pacificretail.com,,,MA,,USA,Closed - Not Converted,,Purchased List,,Pending
00Q7F000004CQaiUAG,FALSE,,,,,,,,Ms,Sandra,Eberhard,Sandra Eberhard,"VP, Production",Highland Manufacturing Ltd.,,,,,,(626) 440-0700,,sandra_e@highland.net,,,CA,,USA,Working - Contacted,,Purchased List,,Pending
00QGA00000x75Wg2AI,FALSE,,,,,,,,Mr.,Pete,JORDAN,Pete JORDAN,,,,,,,,8586369932,8586369932,pete.jordan@gmail.com,"7 Linclon St, Apt 7",BOSTON,MA,02124,US,Open - Not Contacted,,Web,,Pending
00Q7F000004CQajUAG,FALSE,,,,,,,,Ms,Betty,Bair,Betty Bair,"VP, Administration",American Banking Corp.,,,,,,(610) 265-9100,,bblair@abankingco.com,,,PA,,USA,Working - Contacted,,Purchased List,,Pending
00QGA00000x75WH2AY,FALSE,,,,,,,,Mr.,Nick,TILDEN,Nick TILDEN,VP,,,,,,,8586369936,8586369936,nick.tilden@gmail.com,254 Monroe St,NEW YORK,NY,11216,US,Working - Contacted,Hot,Phone Inquiry,,Pending
