SourceId,SourceID_Account,PublisherID_Account,SourceID_ReportsToId,Salutation,FirstName,LastName,Name,Title,Department,Phone,MobilePhone,HomePhone,OtherPhone,Fax,Email,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,Birthdate,Description,FDN_LeadSource,CleanStatus,IsPersonAccount
0037F00000JRNnQQAX,0017F00000N8zXZQAZ,SFDC,,Mr,Andy,Young,Andy Young,"SVP, Operations",Internal Operations,(785) 241-6200,(785) 265-5352,,,,andy.young@abcsupply.com,1301 Hoch Drive,Lawrence,KS,66045,USA,1301 Hoch Drive,Lawrence,KS,66045,USA,"Feb 29, 1984",,Purchased List,Pending,FALSE
0037F00000JRNnRQAX,0017F00000N8zXaQAJ,SFDC,,Mr.,Tim,Barr,Tim Barr,"SVP, Administration and Finance",Finance,(312) 596-1000,(312) 596-1230,,,(312) 596-1500,barr_tim@hyatt.com,"2335 N. Michigan Avenue, Suite 1500",Chicago,IL,60601,US,,,,,,"Jul 20, 1951",,External Referral,Pending,FALSE
0037F00000JRNnVQAX,0017F00000N8zXcQAJ,SFDC,,Ms.,Babara,Levy,Babara Levy,"SVP, Operations",Operations,(503) 421-7800,(503) 421-5451,,,(503) 421-7801,b.levy@harleydavidson.com,"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States",,,,,,,,,,"Oct 31, 1934",,Word of mouth,Pending,FALSE
0037F00000JRNnSQAX,0017F00000N8zXaQAJ,SFDC,,Mr.,John,Bond,John Bond,"VP, Facilities",Facilities,(312) 596-1000,(312) 596-1564,,,(312) 596-1500,bond_john@hyatt.com,"2334 N. Michigan Avenue, Suite 1500",Chicago,IL,60601,US,,,,,,"Sep 30, 1953",,External Referral,Pending,FALSE
0037F00000JRNnTQAX,0017F00000N8zXbQAJ,SFDC,,Ms.,Stella,Pavlova,Stella Pavlova,"SVP, Production",Production,(212) 842-5500,(212) 842-5501,,(212) 842-5543,(212) 842-5501,spavlova@uog.com,"1303 Avenue of the Americas 
New York, NY 10019
USA",,,,,,,,,,"Mar 16, 1941",,Public Relations,Pending,FALSE
0037F00000JRNnUQAX,0017F00000N8zXbQAJ,SFDC,,Ms.,Lauren,Boyle,Lauren Boyle,"SVP, Technology",Technology,(212) 842-5599,(212) 842-5611,,,(212) 842-5501,lboyle@uog.com,"1304 Avenue of the Americas 
New York, NY 10019
USA",,,,,,,,,,"Apr 29, 1958",,Public Relations,Pending,FALSE
0037F00000JRNnWQAX,0017F00000N8zXcQAJ,SFDC,,Mr.,Tony,Davis,Tony Davis,Director,Data Analytics,(503) 421-7822,(503) 421-7822,,,(503) 421-7801,a.davis@harleydavidson.com,"621 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States",,,,,,,,,,"Feb 24, 1977",,Word of mouth,Pending,FALSE
0037F00000JRNnXQAX,0017F00000N8zXdQAJ,SFDC,,Ms.,Jane,Grey,Jane Grey,Dean of Administration,Administration,(520) 773-9011,(520) 773-4539,,,(520) 773-9060,jane_gray@uoa.edu,"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States",,,,,,,,,,"Jan 11, 1942",,Word of mouth,Pending,FALSE
0037F000041tZcBQAU,0017F00000N8zXcQAJ,SFDC,,,Andrew,Johnson,Andrew Johnson,Manager,Marketing,8588586666,,,,,andrew.johnson@harleydavidson.com,,,,,,,,,,,,,,Pending,FALSE
003GA000041ufpVYAQ,0017F00000N8zXfQAJ,SFDC,,Mr.,Thomas,Ripley,Thomas Ripley,RGM,Executive Team,(650) 450-8810,(650) 450-8810,,,,tripley@usa.com,9 Tagore Ln.,,,787472,Singapore,,,,,,"May 18, 1948",,,Pending,FALSE
003GA000042JgRmYAK,0017F00000N8zXaQAJ,SFDC,003GA000042JgRhYAK,Mr.,Steve,Smith,Steve Smith,Manager,Enterprise Information,(312) 596-1022,(312) 596-1022,,,(312) 596-1500,smith_steve@hyatt.com,150 North Riverside,Chicago,IL,60606,,,,,,,"Dec 13, 1990",,Other,Pending,FALSE
003GA000042HnvFYAS,0017F00000N8zXcQAJ,SFDC,,Mr.,Anthony,Davis,Anthony Davis,Sr. Director,Analytics,(503) 421-7822,(503) 421-7822,(503) 421-7822,,,a.davis@harleydavidson.com,621 SW 5th Avenue Suite 400,Portland,,97204,US,,,,,,"Feb 24, 1977",,Partner Referral,Pending,FALSE
003GA000042JgRhYAK,0017F00000N8zXaQAJ,SFDC,,Mr.,Harry,Walsh,Harry Walsh,Director,Enterprise Information,(312) 596-1022,(312) 596-1022,,,(312) 596-1500,walsh_harry@hyatt.com,150 North Riverside,Chicago,IL,60606,,,,,,,"Oct 22, 1985",,Other,Pending,FALSE
