"UBOID","SourceID_Corporation","PublisherID_Corporation","UBOName","UBOType","OwnershipPercentage","CountryOfResidence","DateOfBirth","IsPEP","Notes"
"UBO0020","ENT0069","ERP","Wonka Industries","Corporate","100.0","USA","","FALSE",""
"UBO0021","ENT0031","ERP","Richard King","Individual","40.0","USA","07-07-1984","FALSE",""
"UBO0022","ENT0072","ERP","Tyrell Corp","Corporate","100.0","UK","","FALSE",""
"UBO0023","ENT0034","ERP","Susan Wright","Individual","15.0","UK","29-03-1989","FALSE",""
"UBO0024","ENT0075","ERP","Joseph Lopez","Individual","20.0","Canada","11-12-1977","FALSE",""
"UBO0025","ENT0037","ERP","Gringotts Bank","Corporate","100.0","Canada","","FALSE",""
"UBO0026","ENT0078","ERP","Karen Scott","Individual","25.0","Australia","16-05-1993","FALSE",""
"UBO0027","ENT0040","ERP","Black Mesa","Corporate","100.0","Australia","","FALSE",""
"UBO0028","ENT0002","CRM","Thomas Green","Individual","30.0","USA","27-09-1981","FALSE",""
"UBO0029","ENT0043","CRM","Nancy Adams","Individual","35.0","UK","30-01-1986","FALSE",""
"UBO0030","ENT0005","CRM","Blue Sun Corp","Corporate","100.0","USA","","FALSE",""
"UBO0031","ENT0046","CRM","Charles Baker","Individual","40.0","Canada","21-06-1994","FALSE",""
"UBO0032","ENT0008","CRM","Massive Dynamic","Corporate","100.0","UK","","FALSE",""
"UBO0033","ENT0049","CRM","Mary Gonzalez","Individual","12.0","Australia","13-10-1980","FALSE",""
"UBO0034","ENT0011","CRM","Christopher Nelson","Individual","18.0","USA","08-02-1989","FALSE",""
"UBO0035","ENT0052","CRM","Veidt Industries","Corporate","100.0","Canada","","FALSE",""
"UBO0036","ENT0014","CRM","Jessica Carter","Individual","22.0","UK","25-07-1985","FALSE",""
"UBO0037","ENT0055","CRM","Paper Co","Corporate","100.0","Australia","","FALSE",""
"UBO0038","ENT0017","CRM","Daniel Mitchell","Individual","28.0","Canada","03-11-1992","FALSE",""
"UBO0039","ENT0058","CRM","Sarah Perez","Individual","35.0","Australia","17-03-1978","FALSE",""
"UBO0040","ENT0020","CRM","Prestige Worldwide","Corporate","100.0","USA","","FALSE",""
"UBO0041","ENT0061","CRM","Matthew Roberts","Individual","40.0","USA","28-08-1988","FALSE",""
"UBO0042","ENT0023","CRM","Bluth Company","Corporate","100.0","UK","","FALSE",""
"UBO0043","ENT0064","CRM","Ashley Turner","Individual","15.0","UK","12-01-1983","FALSE",""
"UBO0044","ENT0026","CRM","Anthony Phillips","Individual","20.0","Canada","19-05-1991","FALSE",""
"UBO0045","ENT0067","CRM","Good Burger","Corporate","100.0","Canada","","FALSE",""
"UBO0046","ENT0029","CRM","Kimberly Campbell","Individual","25.0","Australia","06-09-1984","FALSE",""
"UBO0047","ENT0070","CRM","Monsters Inc","Corporate","100.0","Australia","","FALSE",""
"UBO0048","ENT0032","CRM","Mark Parker","Individual","30.0","USA","22-12-1979","FALSE",""
"UBO0049","ENT0073","CRM","Donna Evans","Individual","35.0","UK","15-04-1987","FALSE",""
"UBO0050","ENT0035","CRM","Oceanic Airlines","Corporate","100.0","USA","","FALSE",""
"UBO0051","ENT0076","CRM","Steven Edwards","Individual","40.0","Canada","03-08-1982","FALSE",""
"UBO0052","ENT0038","CRM","Acme Widgets","Corporate","100.0","UK","","FALSE",""
"UBO0053","ENT0079","CRM","Michelle Collins","Individual","12.0","Australia","27-11-1990","FALSE",""
"UBO0054","ENT0041","WEB","Paul Stewart","Individual","18.0","USA","18-02-1986","FALSE",""
"UBO0055","ENT0003","WEB","Globex Foods","Corporate","100.0","Canada","","FALSE",""
"UBO0056","ENT0044","WEB","Laura Sanchez","Individual","22.0","UK","09-06-1993","FALSE",""
"UBO0057","ENT0006","WEB","Initech Services","Corporate","100.0","Australia","","FALSE",""
"UBO0058","ENT0047","WEB","Andrew Morris","Individual","28.0","Canada","31-10-1981","FALSE",""
"UBO0059","ENT0009","WEB","Angela Rogers","Individual","35.0","Australia","14-03-1985","FALSE",""
"UBO0060","ENT0050","WEB","Stark Solutions","Corporate","100.0","USA","","FALSE",""
"UBO0061","ENT0012","WEB","Joshua Reed","Individual","40.0","USA","23-07-1992","FALSE",""
"UBO0062","ENT0053","WEB","Wayne Tech","Corporate","100.0","UK","","FALSE",""
"UBO0063","ENT0015","WEB","Melissa Cook","Individual","15.0","UK","05-11-1977","FALSE",""
"UBO0064","ENT0056","WEB","Kevin Morgan","Individual","20.0","Canada","28-01-1989","FALSE",""
"UBO0065","ENT0018","WEB","Oscorp Labs","Corporate","100.0","Canada","","FALSE",""
"UBO0066","ENT0059","WEB","Amy Bell","Individual","25.0","Australia","11-05-1984","FALSE",""
"UBO0067","ENT0021","WEB","LexTech","Corporate","100.0","Australia","","FALSE",""
"UBO0068","ENT0062","WEB","Brian Murphy","Individual","30.0","USA","02-09-1991","FALSE",""
"UBO0069","ENT0024","WEB","Rebecca Bailey","Individual","35.0","UK","16-12-1983","FALSE",""
"UBO0070","ENT0065","WEB","Wonka Foods","Corporate","100.0","USA","","FALSE",""
"UBO0071","ENT0027","WEB","Edward Rivera","Individual","40.0","Canada","07-04-1990","FALSE",""
"UBO0072","ENT0068","WEB","Tyrell Genetics","Corporate","100.0","UK","","FALSE",""
"UBO0073","ENT0030","WEB","Stephanie Cooper","Individual","12.0","Australia","20-08-1988","FALSE",""
"UBO0074","ENT0071","WEB","Jason Richardson","Individual","18.0","USA","02-02-1982","FALSE",""
"UBO0075","ENT0033","WEB","Gringotts Vaults","Corporate","100.0","Canada","","FALSE",""
"UBO0076","ENT0074","WEB","Sharon Cox","Individual","22.0","UK","15-06-1994","FALSE",""
"UBO0077","ENT0036","WEB","Black Mesa Labs","Corporate","100.0","Australia","","FALSE",""
"UBO0078","ENT0077","WEB","Eric Howard","Individual","28.0","Canada","29-10-1987","FALSE",""
"UBO0079","ENT0039","WEB","Deborah Ward","Individual","35.0","Australia","03-03-1981","FALSE",""
"UBO0080","ENT0080","WEB","Blue Sun Foods","Corporate","100.0","USA","","FALSE",""
"UBO0081","ENT0001","ERP","Ryan Brooks","Individual","40.0","USA","26-07-1989","FALSE",""
"UBO0082","ENT0042","ERP","Massive Tech","Corporate","100.0","UK","","FALSE",""
"UBO0083","ENT0004","ERP","Carol James","Individual","15.0","UK","17-11-1985","FALSE",""
"UBO0084","ENT0045","ERP","Jeffrey Bennett","Individual","20.0","Canada","08-03-1993","FALSE",""
"UBO0085","ENT0007","ERP","Veidt Labs","Corporate","100.0","Canada","","FALSE",""
"UBO0086","ENT0048","ERP","Janet Gray","Individual","25.0","Australia","21-07-1978","FALSE",""
"UBO0087","ENT0010","ERP","Paper Supplies","Corporate","100.0","Australia","","FALSE",""
"UBO0088","ENT0051","ERP","Frank Barnes","Individual","30.0","USA","04-12-1986","FALSE",""
"UBO0089","ENT0013","ERP","Emma Long","Individual","35.0","UK","27-04-1984","FALSE",""
"UBO0090","ENT0002","CRM","Prestige Events","Corporate","100.0","USA","","FALSE",""
"UBO0091","ENT0043","CRM","Patrick Peterson","Individual","40.0","Canada","10-08-1991","FALSE",""
"UBO0092","ENT0005","CRM","Bluth Homes","Corporate","100.0","UK","","FALSE",""
"UBO0093","ENT0046","CRM","Julie Hughes","Individual","15.0","UK","31-01-1983","FALSE",""
"UBO0094","ENT0008","CRM","Gregory Flores","Individual","20.0","USA","24-05-1990","FALSE",""
"UBO0095","ENT0049","CRM","Good Eats","Corporate","100.0","Canada","","FALSE",""
"UBO0096","ENT0011","CRM","Christina Washington","Individual","25.0","UK","15-09-1987","FALSE",""
"UBO0097","ENT0052","CRM","Monsters Toys","Corporate","100.0","Australia","","FALSE",""
"UBO0098","ENT0041","WEB","Scott Butler","Individual","30.0","Canada","26-02-1982","FALSE",""
"UBO0099","ENT0003","WEB","Teresa Simmons","Individual","35.0","Australia","19-06-1994","FALSE",""
"UBO0100","ENT0044","WEB","Oceanic Cargo","Corporate","100.0","USA","","FALSE",""
