"ContactID","FDN_Customer","ContactType","ContactValue","IsPrimary","IsVerified","ValidFrom","ValidTo","Notes","Preferred"
"CI0134","CUST0067","Phone","+61312345683","TRUE","TRUE","17-03-2022","","No answer","TRUE"
"CI0135","CUST0068","Email","brian.murphy@la.com","TRUE","TRUE","18-03-2022","","Invalid","TRUE"
"CI0136","CUST0068","Phone","+12135550134","TRUE","TRUE","18-03-2022","","","False"
"CI0137","CUST0069","Email","rebecca.bailey@liverpool.uk","TRUE","TRUE","19-03-2022","","No answer","TRUE"
"CI0138","CUST0069","Phone","+441512345684","TRUE","TRUE","19-03-2022","","Invalid","TRUE"
"CI0139","CUST0070","Email","info@wonkafoods.com","TRUE","TRUE","20-03-2022","","","False"
"CI0140","CUST0070","Phone","+13125550135","TRUE","TRUE","20-03-2022","","No answer","TRUE"
"CI0141","CUST0071","Email","edward.rivera@nyc.com","TRUE","TRUE","21-03-2022","","Invalid","TRUE"
"CI0142","CUST0071","Phone","+12125550136","TRUE","TRUE","21-03-2022","","","False"
"CI0143","CUST0072","Email","info@tyrellgenetics.co.uk","TRUE","TRUE","22-03-2022","","No answer","TRUE"
"CI0144","CUST0072","Phone","+442071234574","TRUE","TRUE","22-03-2022","","Invalid","TRUE"
"CI0145","CUST0073","Email","stephanie.cooper@manchester.com","TRUE","TRUE","23-03-2022","","","False"
"CI0146","CUST0073","Phone","+441612345685","TRUE","TRUE","23-03-2022","","No answer","TRUE"
"CI0147","CUST0074","Email","jason.richardson@toronto.ca","TRUE","TRUE","24-03-2022","","Invalid","TRUE"
"CI0148","CUST0074","Phone","+14165550137","TRUE","TRUE","24-03-2022","","","False"
"CI0149","CUST0075","Email","info@gringottsvaults.ca","TRUE","TRUE","25-03-2022","","No answer","TRUE"
"CI0150","CUST0075","Phone","+14165550138","TRUE","TRUE","25-03-2022","","Invalid","TRUE"
"CI0151","CUST0076","Email","sharon.cox@sydney.au","TRUE","TRUE","26-03-2022","","","False"
"CI0152","CUST0076","Phone","+61412345685","TRUE","TRUE","26-03-2022","","No answer","TRUE"
"CI0153","CUST0077","Email","info@blackmesalabs.au","TRUE","TRUE","27-03-2022","","Invalid","TRUE"
"CI0154","CUST0077","Phone","+61312345684","TRUE","TRUE","27-03-2022","","","False"
"CI0155","CUST0078","Email","eric.howard@la.com","TRUE","TRUE","28-03-2022","","No answer","TRUE"
"CI0156","CUST0078","Phone","+12135550139","TRUE","TRUE","28-03-2022","","Invalid","TRUE"
"CI0157","CUST0079","Email","deborah.ward@liverpool.uk","TRUE","TRUE","29-03-2022","","","False"
"CI0158","CUST0079","Phone","+441512345685","TRUE","TRUE","29-03-2022","","No answer","TRUE"
"CI0159","CUST0080","Email","info@bluesunfoods.com","TRUE","TRUE","30-03-2022","","Invalid","TRUE"
"CI0160","CUST0080","Phone","+13125550140","TRUE","TRUE","30-03-2022","","","False"
"CI0161","CUST0081","Email","ryan.brooks@nyc.com","TRUE","TRUE","31-03-2022","","No answer","TRUE"
"CI0162","CUST0081","Phone","+12125550141","TRUE","TRUE","31-03-2022","","Invalid","TRUE"
"CI0163","CUST0082","Email","info@massivetech.co.uk","TRUE","TRUE","01-04-2022","","","False"
"CI0164","CUST0082","Phone","+442071234575","TRUE","TRUE","01-04-2022","","No answer","TRUE"
"CI0165","CUST0083","Email","carol.james@manchester.com","TRUE","TRUE","02-04-2022","","Invalid","TRUE"
"CI0166","CUST0083","Phone","+441612345686","TRUE","TRUE","02-04-2022","","","False"
"CI0167","CUST0084","Email","jeffrey.bennett@toronto.ca","TRUE","TRUE","03-04-2022","","No answer","TRUE"
"CI0168","CUST0084","Phone","+14165550142","TRUE","TRUE","03-04-2022","","Invalid","TRUE"
"CI0169","CUST0085","Email","info@veidtlabs.ca","TRUE","TRUE","04-04-2022","","","False"
"CI0170","CUST0085","Phone","+14165550143","TRUE","TRUE","04-04-2022","","No answer","TRUE"
"CI0171","CUST0086","Email","janet.gray@sydney.au","TRUE","TRUE","05-04-2022","","Invalid","TRUE"
"CI0172","CUST0086","Phone","+61412345686","TRUE","TRUE","05-04-2022","","","False"
"CI0173","CUST0087","Email","info@papersupplies.au","TRUE","TRUE","06-04-2022","","No answer","TRUE"
"CI0174","CUST0087","Phone","+61312345685","TRUE","TRUE","06-04-2022","","Invalid","TRUE"
"CI0175","CUST0088","Email","frank.barnes@la.com","TRUE","TRUE","07-04-2022","","","False"
"CI0176","CUST0088","Phone","+12135550144","TRUE","TRUE","07-04-2022","","No answer","TRUE"
"CI0177","CUST0089","Email","emma.long@liverpool.uk","TRUE","TRUE","08-04-2022","","Invalid","TRUE"
"CI0178","CUST0089","Phone","+441512345686","TRUE","TRUE","08-04-2022","","","False"
"CI0179","CUST0090","Email","info@prestigeevents.com","TRUE","TRUE","09-04-2022","","No answer","TRUE"
"CI0180","CUST0090","Phone","+13125550145","TRUE","TRUE","09-04-2022","","Invalid","TRUE"
"CI0181","CUST0091","Email","patrick.peterson@nyc.com","TRUE","TRUE","10-04-2022","","","False"
"CI0182","CUST0091","Phone","+12125550146","TRUE","TRUE","10-04-2022","","No answer","TRUE"
"CI0183","CUST0092","Email","info@bluthhomes.co.uk","TRUE","TRUE","11-04-2022","","Invalid","TRUE"
"CI0184","CUST0092","Phone","+442071234576","TRUE","TRUE","11-04-2022","","","False"
"CI0185","CUST0093","Email","julie.hughes@manchester.com","TRUE","TRUE","12-04-2022","","No answer","TRUE"
"CI0186","CUST0093","Phone","+441612345687","TRUE","TRUE","12-04-2022","","Invalid","TRUE"
"CI0187","CUST0094","Email","gregory.flores@toronto.ca","TRUE","TRUE","13-04-2022","","","False"
"CI0188","CUST0094","Phone","+14165550147","TRUE","TRUE","13-04-2022","","No answer","TRUE"
"CI0189","CUST0095","Email","info@goodeats.ca","TRUE","TRUE","14-04-2022","","Invalid","TRUE"
"CI0190","CUST0095","Phone","+14165550148","TRUE","TRUE","14-04-2022","","","False"
"CI0191","CUST0096","Email","christina.washington@sydney.au","TRUE","TRUE","15-04-2022","","No answer","TRUE"
"CI0192","CUST0096","Phone","+61412345687","TRUE","TRUE","15-04-2022","","Invalid","TRUE"
"CI0193","CUST0097","Email","info@monsterstoys.au","TRUE","TRUE","16-04-2022","","","False"
"CI0194","CUST0097","Phone","+61312345686","TRUE","TRUE","16-04-2022","","No answer","TRUE"
"CI0195","CUST0098","Email","scott.butler@la.com","TRUE","TRUE","17-04-2022","","Invalid","TRUE"
"CI0196","CUST0098","Phone","+12135550149","TRUE","TRUE","17-04-2022","","","False"
"CI0197","CUST0099","Email","teresa.simmons@liverpool.uk","TRUE","TRUE","18-04-2022","","No answer","TRUE"
"CI0198","CUST0099","Phone","+441512345687","TRUE","TRUE","18-04-2022","","Invalid","TRUE"
"CI0199","CUST0100","Email","info@oceaniccargo.com","TRUE","TRUE","19-04-2022","","","False"
"CI0200","CUST0100","Phone","+13125550150","TRUE","TRUE","19-04-2022","","No answer","TRUE"
